t,r,r_dot,r_dot_dot,psi,psi_dot
9.99999999999999954748E-07,5.14718625761429707417E-01,3.55863930076611952337E-06,3.55863930076611968451E+00,3.77450697205301544631E-06,3.77450697205301561720E+00
1.50009999999999969721E-02,5.16316707917519431427E-01,1.06315652831019166848E-01,3.51409026297373740721E+00,1.13005069043797402326E-01,3.75117773559017032587E+00
3.00010000000000052939E-02,5.21071114045903251686E-01,2.10002509735163673854E-01,3.38517209358519906054E+00,2.24625227860938118102E-01,3.68303633313846746455E+00
4.50010000000000141443E-02,5.28866813127306685332E-01,3.08711483276737059178E-01,3.18497329916727733596E+00,3.33590161951900535320E-01,3.57525785099959187438E+00
6.00010000000000229946E-02,5.39525034440648511454E-01,4.00573360127680692277E-01,2.93205805951463156648E+00,4.38819610171668582593E-01,3.43539593736080231816E+00
7.50009999999999894899E-02,5.52819701597608063502E-01,4.84313055983752548995E-01,2.64687685645672786351E+00,5.39480235520229670131E-01,3.27214827826156915173E+00
9.00009999999999475183E-02,5.68495596517741330395E-01,5.59256309577725499828E-01,2.34858218059061785708E+00,6.35001805107993777988E-01,3.09418153362977654515E+00
1.05000999999999905547E-01,5.86285439440886863493E-01,6.25256232368559620874E-01,2.05293654771168307687E+00,7.25062191371948099202E-01,2.90925495721401437496E+00
1.20000999999999863575E-01,6.05924011359569228332E-01,6.82575741864366165174E-01,1.77144513088809653779E+00,8.09551806313306331390E-01,2.72372761594963692130E+00
1.35000999999999821610E-01,6.27158517680907152969E-01,7.31759376876307201024E-01,1.51145291875020218399E+00,8.88528606637299613513E-01,2.54240860672333899434E+00
1.50000999999999779639E-01,6.49755249761299204941E-01,7.73517487701523108381E-01,1.27680552499104057074E+00,9.62172492293199834769E-01,2.36864734488912455118E+00
1.65000999999999737667E-01,6.73503112041285664096E-01,8.08634112788479228419E-01,1.06871736390199447971E+00,1.03074462180583794756E+00,2.20455422931552965119E+00
1.80000999999999695695E-01,6.98214778530842126981E-01,8.37900910549759555005E-01,8.86612044790781418289E-01,1.09455418893717997659E+00,2.05126573810686344576E+00
1.95000999999999653724E-01,7.23726226444069364657E-01,8.62074312043131856583E-01,7.28818912810348842131E-01,1.15393310399926097751E+00,1.90919979115377493788E+00
2.10000999999999611752E-01,7.49895271599499831105E-01,8.81850935459625032695E-01,5.93093439710976541742E-01,1.20921782530174396419E+00,1.77827437198535474709E+00
2.25000999999999569780E-01,7.76599575076524290462E-01,8.97856108982716085462E-01,4.76975202271832617837E-01,1.26073707493925625414E+00,1.65808084766566941871E+00
2.40000999999999527809E-01,8.03734445789494526759E-01,9.10641091761396001547E-01,3.78015695224668650613E-01,1.30880408984302090388E+00,1.54801383325045772976E+00
2.55000999999999485837E-01,8.31210646653053864398E-01,9.20685616326374259505E-01,2.93910816669240855525E-01,1.35371219588846436954E+00,1.44736413034104488876E+00
2.70000999999999443865E-01,8.58952325844299897125E-01,9.28403360637600005704E-01,2.22568150026243027147E-01,1.39573271364120905325E+00,1.35538251891520558840E+00
2.85000999999999401894E-01,8.86895135456273742353E-01,9.34148759440831257536E-01,1.62132255579964855205E-01,1.43511443302525188792E+00,1.27132168350803161929E+00
3.00000999999999359922E-01,9.14984561546530936887E-01,9.38224159446896681977E-01,1.10984576405042725597E-01,1.47208409551522612969E+00,1.19446235612596387415E+00
3.15000999999999317951E-01,9.43174466334049257628E-01,9.40886736945857353161E-01,6.77291941694005457324E-02,1.50684748484383848697E+00,1.12412842592427497299E+00
3.30000999999999275979E-01,9.71425830264167676042E-01,9.42354870434704000831E-01,3.11716839982725794233E-02,1.53959085116892732724E+00,1.05969456177087669325E+00
3.45000999999999234007E-01,9.99705675242184137966E-01,9.42813833830075977800E-01,2.95529274995809040349E-04,1.57048248468241454575E+00,1.00058890949884440609E+00
3.60000999999999192036E-01,1.02798614800117968089E+00,9.42420779723408103944E-01,-2.57613078879762104683E-02,1.59967431958373027402E+00,9.46292667147458977425E-01
3.75000999999999150064E-01,1.05624374262036329231E+00,9.41309040615524141667E-01,-4.77282661041833428159E-02,1.62730349456610435546E+00,8.96337779454189954224E-01
3.90000999999999108092E-01,1.08445864254989556192E+00,9.39591805788540452194E-01,-6.62218656361657601219E-02,1.65349382678441086101E+00,8.50303587894075765504E-01
4.05000999999999066121E-01,1.11261416444387811417E+00,9.37365243659288976822E-01,-8.17629868192710298030E-02,1.67835717682254130490E+00,8.07812986956946353450E-01
4.20000999999999024149E-01,1.14069628824689641897E+00,9.34711141435130457513E-01,-9.47917928847407817249E-02,1.70199469554538890075E+00,7.68528439454417227217E-01
4.35000999999998982177E-01,1.16869326008997079973E+00,9.31699130302716183971E-01,-1.05680474114200292697E-01,1.72449795214837596198E+00,7.32148068685656427804E-01
4.50000999999998940206E-01,1.19659525650841821044E+00,9.28388558079771454925E-01,-1.14744047223960472592E-01,1.74594994780140092233E+00,6.98401954689991980160E-01
4.65000999999998898234E-01,1.22439410024341084518E+00,9.24830063947585597731E-01,-1.22249458369778978286E-01,1.76642602214088729009E+00,6.67048702040768545362E-01
4.80000999999998856263E-01,1.25208301941647163753E+00,9.21066902521650333457E-01,-1.28423229331101176740E-01,1.78599466126478494316E+00,6.37872308021865220249E-01
4.95000999999998814291E-01,1.27965644317885183980E+00,9.17136057619308435191E-01,-1.33457865973680987629E-01,1.80471821635762707885E+00,6.10679335774023108845E-01
5.10000999999999043370E-01,1.30710982805359233593E+00,9.13069179881889307865E-01,-1.37517222933047068950E-01,1.82265354197153633693E+00,5.85296382371768697333E-01
5.25000999999999407974E-01,1.33443951012942803249E+00,9.08893376980542439902E-01,-1.40740992552938958872E-01,1.83985256255129459165E+00,5.61567823534603453124E-01
5.40000999999999772578E-01,1.36164257905571463260E+00,9.04631880467267561214E-01,-1.43248461559255341785E-01,1.85636277517280174189E+00,5.39353812563122318854E-01
5.55001000000000137182E-01,1.38871677044826519296E+00,9.00304609367718337051E-01,-1.45141656753522641537E-01,1.87222769576469403609E+00,5.18528509615342965953E-01
5.70001000000000501787E-01,1.41566037386733071905E+00,8.95928647272944681001E-01,-1.46507981529065603099E-01,1.88748725536552359116E+00,4.98978517590173761148E-01
5.85001000000000866391E-01,1.44247215398847777261E+00,8.91518646891225604006E-01,-1.47422428247910933575E-01,1.90217815227177201311E+00,4.80601501992896774798E-01
6.00001000000001230995E-01,1.46915128296991067661E+00,8.87087173689534764620E-01,-1.47949437281254304007E-01,1.91633416527671026893E+00,4.63304973782555964539E-01
6.15001000000001595599E-01,1.49569728233868739912E+00,8.82644998314989676937E-01,-1.48144461542220987174E-01,1.92998643259767961957E+00,4.47005216060634182334E-01
6.30001000000001960203E-01,1.52210997298408608170E+00,8.78201345876415493319E-01,-1.48055285333510216623E-01,1.94316370054391555336E+00,4.31626337377030575086E-01
6.45001000000002324807E-01,1.54838943206812054145E+00,8.73764108830192114932E-01,-1.47723138008962118250E-01,1.95589254548853187527E+00,4.17099436295862478893E-01
6.60001000000002689412E-01,1.57453595584838843381E+00,8.69340029106366291402E-01,-1.47183636045506954879E-01,1.96819757227421486697E+00,4.03361863618939767753E-01
6.75001000000003054016E-01,1.60055002756329492735E+00,8.64934854191517329589E-01,-1.46467581409056000360E-01,1.98010159179868506043E+00,3.90356570277800908332E-01
6.90001000000003418620E-01,1.62643228965938478506E+00,8.60553471121449682559E-01,-1.45601639374960397259E-01,1.99162578018858118199E+00,3.78031530363940287222E-01
7.05001000000003783224E-01,1.65218351974929921822E+00,8.56200021702365477220E-01,-1.44608915061008386598E-01,2.00278982167445280594E+00,3.66339230071064416957E-01
7.20001000000004147828E-01,1.67780460978027465020E+00,8.51878001751339261952E-01,-1.43509444705981606025E-01,2.01361203702046605117E+00,3.55236214479616414390E-01
7.35001000000004512433E-01,1.70329654797002955481E+00,8.47590346707181973424E-01,-1.42320615060712481762E-01,2.02410949913594864725E+00,3.44682685132928935212E-01
7.50001000000004877037E-01,1.72866040313174977334E+00,8.43339505595899288594E-01,-1.41057522052883634419E-01,2.03429813729808943445E+00,3.34642142248495652216E-01
7.65001000000005241641E-01,1.75389731106467328093E+00,8.39127505028369058014E-01,-1.39733278060175928478E-01,2.04419283124240494195E+00,3.25081066189767841322E-01
