t,r,r_dot,r_dot_dot,phi,phi_dot,phi_dot_dot,theta,theta_dot,theta_dot_dot,gamma,delta_phi
1.50009999999961113034E-04,2.29179607388591666250E+00,4.25699983658073076833E-05,1.41899993408401009498E-01,2.28473045050736232528E-04,7.61551409083566888114E-01,0.00000000000000000000E+00,5.23598786899539425654E-01,7.53416010953532566631E-05,2.51130284653295510200E-01,1.00002027702842455348E+00,0.00000000000000000000E+00
3.00009999999883471018E-04,2.29179609304220432975E+00,8.51399957017709110201E-05,1.41899988259009096625E-01,4.56938454153970989580E-04,7.61551306915812520337E-01,0.00000000000000000000E+00,5.23598820802505082739E-01,1.50680677698936343976E-04,2.51130218707468100270E-01,1.00002027702823048649E+00,0.00000000000000000000E+00
4.50009999999805801896E-04,2.29179612496948914568E+00,1.27709990977978109748E-04,1.41899979676576248888E-01,6.85403822390305496499E-04,7.61551136635342351688E-01,0.00000000000000000000E+00,5.23598877307190013752E-01,2.26019727924170883400E-04,2.51130108796196960252E-01,1.00002027702790674546E+00,0.00000000000000000000E+00
6.00010000000333822319E-04,2.29179616966777288667E+00,1.70279983164515769925E-04,1.41899967661102466288E-01,9.13869129325952820816E-04,7.61550898242250307035E-01,0.00000000000000000000E+00,5.23598956413584559755E-01,3.01358738581436566995E-04,2.51129954919554643222E-01,1.00002027702745355242E+00,0.00000000000000000000E+00
7.50010000001069304827E-04,2.29179622713705377635E+00,2.12849971231471990886E-04,1.41899952212589358647E-01,1.14233435452714728042E-03,7.61550591736671944609E-01,0.00000000000000000000E+00,5.23599058121674731936E-01,3.76697696481134757310E-04,2.51129757077647453034E-01,1.00002027702687068533E+00,0.00000000000000000000E+00
9.00010000001804787335E-04,2.29179629737732826200E+00,2.55419954148937650238E-04,1.41899933331039007633E-01,1.37079947756013728784E-03,7.61550217118781458403E-01,0.00000000000000000000E+00,5.23599182431442544683E-01,4.52036588433710727081E-04,2.51129515270612002631E-01,1.00002027702615858828E+00,0.00000000000000000000E+00
1.05001000000174392335E-03,2.29179638038859945226E+00,2.97989930886999668247E-04,1.41899911016451635293E-01,1.59926447799128932520E-03,7.61549774388786238077E-01,0.00000000000000000000E+00,5.23599329342866459669E-01,5.27375401249642952739E-04,2.51129229498611328264E-01,1.00002027702531703923E+00,0.00000000000000000000E+00
1.20001000000085310260E-03,2.29179647617086112987E+00,3.40559900415748190682E-04,1.41899885268831349450E-01,1.82772933538700153334E-03,7.61549263546938859371E-01,0.00000000000000000000E+00,5.23599498855920719720E-01,6.02714121739455392993E-04,2.51128899761842216964E-01,1.00002027702434603817E+00,0.00000000000000000000E+00
1.35000999999996228185E-03,2.29179658472411285075E+00,3.83129861705270571490E-04,1.41899856088179759928E-01,2.05619402931375054935E-03,7.61548684593526536979E-01,0.00000000000000000000E+00,5.23599690970575570859E-01,6.78052736713790618270E-04,2.51128526060530266051E-01,1.00002027702324536307E+00,0.00000000000000000000E+00
1.50000999999907146110E-03,2.29179670604835195036E+00,4.25699813725661699824E-04,1.41899823474499919840E-01,2.28465853933815027030E-03,7.61548037528874899316E-01,0.00000000000000000000E+00,5.23599905686797484350E-01,7.53391232983299709985E-04,2.51128108394930660285E-01,1.00002027702201523596E+00,0.00000000000000000000E+00
